Country,Region,Year,Happiness Rank,Happiness Score,Health,Trust,Family,Economy,Freedom,Generosity
Albania,Central and Eastern Europe,2015,95,4.959,0.81325,0.06412999999999999,0.8043399999999999,0.8786700000000001,0.35733000000000004,0.14272
Bosnia and Herzegovina,Central and Eastern Europe,2015,96,4.949,0.79081,0.00227,0.9191600000000001,0.8322299999999999,0.09245,0.24808000000000002
Lesotho,Sub-Saharan Africa,2015,97,4.898,0.07612000000000001,0.12504,1.04103,0.37545,0.31767,0.16388
Dominican Republic,Latin America and Caribbean,2015,98,4.885,0.66825,0.14234000000000002,1.17202,0.8953700000000001,0.57672,0.21684
Laos,Southeastern Asia,2015,99,4.876,0.54909,0.24249,0.73803,0.5906600000000001,0.59591,0.42191999999999996
Mongolia,Eastern Asia,2015,100,4.874,0.60268,0.026660000000000003,1.3006,0.82819,0.43626000000000004,0.3323
Swaziland,Sub-Saharan Africa,2015,101,4.867,0.07566,0.0306,1.07284,0.71206,0.30658,0.18259
Greece,Western Europe,2015,102,4.857,0.88213,0.013969999999999998,0.9293299999999999,1.15406,0.07699,0.0
Lebanon,Middle East and Northern Africa,2015,103,4.8389999999999995,0.83947,0.04582,0.80001,1.0256399999999999,0.33916,0.21854
Hungary,Central and Eastern Europe,2015,104,4.8,0.75905,0.02758,1.20215,1.12094,0.32111999999999996,0.128
Honduras,Latin America and Caribbean,2015,105,4.788,0.6951,0.06825,0.9534799999999999,0.59532,0.40148,0.23026999999999997
Tajikistan,Central and Eastern Europe,2015,106,4.7860000000000005,0.5737899999999999,0.15072,0.8556299999999999,0.39047,0.47216,0.22974
Tunisia,Middle East and Northern Africa,2015,107,4.739,0.73793,0.06358,0.60429,0.88113,0.26268,0.06431
Palestinian Territories,Middle East and Northern Africa,2015,108,4.715,0.66015,0.12905,0.92558,0.59867,0.24499,0.11250999999999999
Bangladesh,Southern Asia,2015,109,4.694,0.60164,0.12569,0.43106000000000005,0.39753,0.4082,0.21222
Iran,Middle East and Northern Africa,2015,110,4.686,0.69805,0.058629999999999995,0.54447,1.0088,0.30033000000000004,0.38086
Ukraine,Central and Eastern Europe,2015,111,4.681,0.6739,0.02961,1.20278,0.79907,0.25123,0.15275
Iraq,Middle East and Northern Africa,2015,112,4.677,0.60237,0.13788,0.81889,0.98549,0.0,0.17922000000000002
South Africa,Sub-Saharan Africa,2015,113,4.6419999999999995,0.27688,0.08884,1.18468,0.9204899999999999,0.33207,0.11972999999999999
Ghana,Sub-Saharan Africa,2015,114,4.633,0.40131999999999995,0.04355,0.6795399999999999,0.5455800000000001,0.42341999999999996,0.23087
Zimbabwe,Sub-Saharan Africa,2015,115,4.61,0.33475,0.08079,1.0327600000000001,0.271,0.25861,0.18987
